,"#""Step""",Potential Energy (kJ/mole),Temperature (K),Density (g/mL)
0,201000,7502.829622352937,297.76219456372365,0.7853297917480014
1,202000,7194.552460778037,296.1103953011305,0.7822928568683628
2,203000,7083.5484150700695,290.87814087650173,0.7977524462397215
3,204000,7130.562059306067,294.6344299970771,0.7913750767917583
4,205000,7252.797136011235,291.3655259989099,0.7897512796649149
5,206000,7157.889932353614,288.8715116631634,0.7924980947303425
6,207000,7281.953354888468,289.7606320753262,0.7854214143595825
7,208000,7508.203570853802,288.6936369100898,0.7816287392918255
8,209000,7375.618657065271,290.72008290146636,0.7701891949014641
9,210000,7430.607080391892,285.9178474245153,0.7740874237195201
10,211000,7203.025916958438,293.5887008602369,0.7886114714289559
11,212000,7384.503553290171,288.80574452717775,0.7895026351521036
12,213000,7574.235573741236,285.84138153617124,0.7836549797857677
13,214000,7564.968259087542,289.168793264911,0.7759037338649518
14,215000,7194.714635749018,288.6973593476256,0.7766300761928735
15,216000,7232.117690383314,291.20131994621306,0.7907541053588713
16,217000,7620.758071934029,294.02001635975944,0.7894277490480144
17,218000,7267.4389346179505,297.0226144864177,0.7882381572455894
18,219000,7360.319266369099,294.15257919698985,0.7882817468327455
19,220000,7345.161279936284,298.8988415047197,0.7948895341705837
20,221000,7374.4093680560645,285.58813262223043,0.7752534473053112
21,222000,7288.2022902926465,295.7115996696652,0.7924422592570353
22,223000,7475.150209661026,289.57186699990984,0.7798039973598297
23,224000,7477.474670089733,293.4111299701155,0.790363932871196
24,225000,7439.086617533941,292.5656288879203,0.785542469285572
25,226000,7498.2679863680505,291.99006528470295,0.7828493593953215
26,227000,7441.617779435122,294.4647544478569,0.7763283588726222
27,228000,7511.20376111891,293.0973611817642,0.7772252892395779
28,229000,7375.497178554547,304.7051880747155,0.7829950006092204
29,230000,7393.895148593987,290.23930769821493,0.7779177807784365
30,231000,7473.500294190631,293.86789336503307,0.7761953240119434
31,232000,7131.696297240377,295.75081601466457,0.7817728197749134
32,233000,6940.269936370398,296.7686868315404,0.7868129353275849
33,234000,7452.84598607164,291.65051377925863,0.7812941810142198
34,235000,7351.981423152945,300.18027497410196,0.78603637673872
35,236000,7459.983320896847,294.5274745639162,0.7813850014007613
36,237000,7274.415690081461,292.41769026678827,0.7862568580778988
37,238000,7285.8646891789895,298.25901957087945,0.7815850773931853
38,239000,7551.197687686867,297.9853209996312,0.7751391959807077
39,240000,7262.0171716350915,296.56294126348155,0.7748064832338317
40,241000,7738.715253233355,299.89242156290663,0.7677223170268412
41,242000,7489.280651422996,293.8822162005938,0.7772396391116024
42,243000,7480.837434613442,293.26542210643953,0.7796748180932895
43,244000,7564.56754400717,290.7658145759576,0.7731890442623718
44,245000,7249.37896085516,291.5702430338256,0.7763393968461452
45,246000,7317.878748576947,290.5375675483644,0.7891005944835057
46,247000,7534.542185650491,293.23798933592576,0.7700398563093421
47,248000,7359.158269317239,294.91618090170886,0.7919049006192906
48,249000,7201.186517062688,291.9979040828928,0.7814411424980341
49,250000,7264.624616391039,297.84308620837584,0.7800692360746591
50,251000,7347.871007428088,293.2900034576106,0.7792071170351567
51,252000,7508.367101335609,288.86175467654886,0.7819720963736205
52,253000,7585.931914881574,286.91155354597487,0.7856770514532369
53,254000,7169.0773215492245,291.7348195156334,0.7884660043662294
54,255000,7123.662806493285,294.4434069753205,0.7827951512595726
55,256000,7318.264606475866,287.53462666161755,0.7853297379627312
56,257000,7504.305382574053,292.3455097044314,0.7748490268615326
57,258000,7481.290933843136,292.32738619247164,0.7834108575581794
58,259000,7214.181397337584,293.0015275752382,0.7805248811497727
59,260000,7547.741987480382,285.69342676426436,0.7726683871593779
60,261000,7440.94778367274,292.5337895860712,0.7764172282523488
61,262000,7250.183535775488,294.07329465525436,0.7738238728621316
62,263000,7316.792856827076,289.34869769352,0.7853144971733448
63,264000,7119.737166508694,294.9733855183232,0.7898084025925397
64,265000,7321.137455559753,287.2788641902648,0.7885497444926578
65,266000,7178.4995419121215,290.73429606089536,0.7840361950360542
66,267000,7238.640484713822,295.6486694707001,0.7958559652076638
67,268000,7161.153872046455,289.54800840679155,0.7837947695247158
68,269000,7151.927441889651,291.9764844036654,0.7875976985787869
69,270000,7193.468707369053,289.43129868412063,0.7862845070148571
70,271000,7223.278381164336,287.14722247888574,0.7800993935977237
71,272000,7104.705006537207,304.4135579189047,0.7911013598100574
72,273000,7411.965941539832,297.7538909062513,0.7948663892010619
73,274000,7917.11598634966,284.9245490045945,0.7869751935919774
74,275000,7282.438591916298,290.14043548188056,0.7804898124961684
75,276000,7190.594015691043,294.46322640688334,0.786949943995566
76,277000,7244.90102718114,290.8074979902106,0.8008485411737379
77,278000,7380.567746716537,286.7717810513988,0.7905725193042393
78,279000,7334.753124510404,293.9283598675978,0.7792522183465991
79,280000,7215.232434509246,286.6507016807765,0.7890454646179557
80,281000,7334.5120095908,296.15052155529185,0.7901117751302609
81,282000,7149.4378681514245,292.8797420709517,0.7826009578700108
82,283000,7125.054113459988,288.98120298102367,0.7795479134335718
83,284000,7092.625122943413,292.3408311548734,0.7798589300488848
84,285000,7492.9040304518,293.01207756899345,0.7767509275167501
85,286000,7687.623701554482,295.35060607855945,0.780479299456675
86,287000,7550.905227957317,294.08705017110816,0.7706630244982655
87,288000,7508.203815483383,290.516473876264,0.7851232470874224
88,289000,7190.694415883467,290.6435239437982,0.7783255211926372
89,290000,7329.090457613753,287.3757098840639,0.7805942888013121
90,291000,7280.630765558596,289.6866141409208,0.7832437809907455
91,292000,7418.631154139464,293.1063518305222,0.7740148247738934
