#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,50.09312306502966,145.32183279876458
2000,55.75771891545992,345.22480539108335
3000,48.244390151246535,273.041676847193
4000,70.71190007145742,139.552009811236
5000,67.46454298285971,464.90440180494767
6000,82.43128957034787,222.9415597977338
7000,48.1697215548985,155.56104067530865
8000,60.83903833668592,201.39581885897704
9000,55.685263802269446,265.3410209597663
10000,90.45370226000523,335.5707734928651
11000,72.04805049064453,311.2278653800149
12000,71.69027550669853,459.2028832600815
13000,71.54004829372207,273.6117507637816
14000,62.50095730754947,307.06476404693706
15000,77.44447007156123,276.6760379914575
16000,62.34289944436159,338.1732431621407
17000,56.78180815115047,298.48051049305064
18000,60.924843089647766,190.7666991961244
19000,61.52867864473342,217.20711517820007
20000,59.904605313553475,207.07988294482666
21000,59.970458872554445,275.28374560107756
22000,52.71425363184244,242.34377582152246
23000,59.581770355813205,231.58449490313257
24000,53.820779947855044,249.14917826167812
25000,51.3262750612048,270.8233358927106
26000,58.99426985224818,262.85317239912007
27000,52.678656973504985,309.3022257259527
28000,64.09781668002688,296.7523321662682
29000,61.91270752646324,227.45904869276822
30000,72.07183761460283,206.2665695745363
31000,57.08471775595899,400.63488646021483
32000,50.96536427514073,234.36856673637055
33000,66.29700738774773,325.9650598324267
34000,70.69071681045898,286.2774726593581
35000,58.5444122688059,455.7021434635251
36000,71.0845696278194,221.58168482445657
37000,63.575994082402985,174.71359944718975
38000,53.93175325424818,283.62980826728347
39000,54.99432538244719,422.88070772749444
40000,80.39866838866146,344.82121773463405
41000,92.93647171993507,221.8286858795381
42000,67.77361445909628,302.7119391121025
43000,65.18976100439613,290.8382305719965
44000,55.21947499480302,258.8126489162127
45000,57.34472425120839,146.99351587089893
46000,66.76518044043587,160.25066763458477
47000,65.2555874867478,203.1209872798461
48000,81.91621714201756,346.93788914451824
49000,79.18458466607262,422.32787657369727
50000,74.43338411646157,318.15734354837565
51000,78.89570978830307,294.18758463321586
52000,60.18645260650527,400.68306008163324
53000,66.01863764741393,349.57940738595545
54000,69.97094355964873,326.40774644793805
55000,76.74715336853387,298.8178153705223
56000,68.73747405639006,409.404053388258
57000,67.50323831789092,361.4472195731608
58000,79.43084772330839,338.55043063653585
59000,73.76468177408424,333.9293476032749
60000,64.10578188313451,264.4794281447944
61000,53.258009101879,267.97473125884216
62000,62.64295672356002,267.6965236735812
63000,62.572035726492686,223.410642222815
64000,58.971050732743606,193.4993589416418
65000,52.64653676736634,261.7932349988554
66000,61.069096618124306,368.96096281735765
67000,73.13692464885207,274.80773815874414
68000,52.98999259030825,382.3096491961396
69000,55.08761787472031,371.5478741627856
70000,58.88814185663796,292.84477213728684
71000,86.32157649274563,348.89107770490114
72000,73.75550054380801,445.4556870683842
73000,71.02754967724286,375.7998552098953
74000,61.51057115272852,243.06081782657526
75000,65.81732393437161,357.8095046127666
76000,52.67878665814692,343.26241737377785
77000,59.23761813530291,282.4631954950724
78000,62.46135023306806,357.63525162340034
79000,67.27339610609306,282.1480627685092
80000,57.96210767182765,285.07665166857026
81000,58.97133023731476,224.96529234667437
82000,70.59521455077993,151.79218580565455
83000,50.74065578933005,218.1567775699917
84000,64.57891778120302,196.22120673325702
85000,57.666180320824424,219.49837049694844
86000,74.65297327848384,208.16100746913173
87000,51.05238565542493,338.00751235191257
88000,55.830530189244655,238.4821322692429
89000,50.45171841071368,394.2311869456243
90000,63.82696466642665,161.55005635827706
91000,61.53895791844786,226.62538165994943
92000,57.86044546072662,323.01749838391845
93000,72.7161590908654,339.7448089090641
94000,56.494977753724015,246.74439144193522
95000,62.016389859876654,239.72314238772924
96000,51.61518538593516,293.68924336769504
97000,61.10779688635665,333.6558908837907
98000,72.26985905549009,271.78658812809385
99000,65.35688137162288,265.31302642505153
100000,64.84947953732438,275.70678645707255
101000,73.12165187447681,265.9136685439026
102000,67.97868019769271,311.09979747373285
103000,64.66235166639672,299.4065988348577
104000,50.322014782575934,241.0823846117764
105000,73.42686832737249,201.12626966984615
106000,59.48245112657423,263.4853043414908
107000,61.29126821937916,253.63421493984245
108000,48.46810197605919,191.51217229703263
109000,59.736081653042675,400.70998545328524
110000,68.25352020910941,292.65993253562795
111000,66.14883605679643,395.151351435739
112000,70.19429764806904,293.2208216058056
113000,59.766637073747006,341.9701699067788
114000,70.98785109043456,244.1542624958214
115000,58.046756467359955,319.81071819148826
116000,65.01555825772857,226.6177315144327
117000,57.55636374201276,351.3135225167387
118000,58.07416062710763,236.94272661929747
119000,53.72435784810125,298.43446213424994
120000,56.83913152862806,207.63143917935145
121000,56.6577578676297,295.7410614920262
122000,89.45920750929713,234.40607088698368
123000,67.50405998108363,251.61917351387652
124000,58.03729296514575,330.0086781094266
125000,61.97779398278726,303.2553962169424
126000,48.81860317207665,343.61551578466936
127000,69.85985810903088,258.22144432940877
128000,62.94882859531208,271.24182879304846
129000,48.56192170285681,197.81951109502904
130000,72.06306580168894,131.25221019628552
131000,68.36333395458713,328.3881131706397
132000,61.6578153701721,424.97597975431546
133000,84.4812834548793,269.89516964319745
134000,80.70885718497539,201.3836782056871
135000,59.4937361826087,326.9062293548208
136000,69.99776584943083,339.77210989026
137000,71.60866723028084,390.043324011297
138000,77.4561574630261,378.4561385333398
139000,89.30188455595635,359.2395843909516
140000,60.49865133059211,397.60710698171704
141000,54.25153967523511,313.0741278898655
142000,62.88559666421497,425.0986051280084
143000,67.02523848254609,483.8742910308812
144000,62.14191603535801,342.3712848452111
145000,56.46236059609919,317.0741822086348
146000,65.31656358968485,224.6800455309344
147000,62.309309035235856,454.94658930994194
148000,59.665244699284585,442.5917835912379
149000,59.01141563652027,303.74446402950264
150000,60.50740033105831,174.39507992479253
151000,53.88053432359811,213.08137483727705
152000,65.42258222518649,200.6241700770033
153000,78.28170407793186,300.0896204011345
154000,71.6747838750016,271.64884569255105
155000,71.24722975133068,237.43586849965297
156000,74.06104857126229,276.1569887783155
157000,73.7868309911064,311.0370038043478
158000,60.87396335846279,247.66682791837002
159000,57.185904256039294,221.88117449830187
160000,75.71286085003521,252.30731844196208
161000,65.04772561909012,269.42626477206625
162000,55.82780025903412,251.8981933355884
163000,79.35832533997018,304.90014303495855
164000,70.11323116128779,354.8404787037719
165000,85.85303499213114,273.0427824061843
166000,68.1652853018968,284.2554727318386
167000,55.755338539152035,248.62327471269003
168000,54.49885383655783,253.9928271979297
169000,58.536403480341505,234.68186799946687
170000,52.58565290637125,174.78613422446082
171000,54.856261043948734,316.61374055019
172000,75.040978713605,315.02247417567474
173000,60.70860625291061,396.2742947027353
174000,48.57418684862023,399.94522596603457
175000,68.97527694181599,312.5378443381216
176000,69.05756109933895,336.70269125100447
177000,63.1208914404142,291.1224599053688
178000,57.743825395631575,311.5017951095837
179000,48.090500179619994,357.1939421065703
180000,62.077957901146874,302.37906563041037
181000,67.36713443108601,208.91305179543565
182000,68.16528590701728,255.84774392900738
183000,48.78525764040569,264.92301703206834
184000,59.720171938841304,258.80043689800436
185000,73.66763304782216,238.13437634121797
186000,55.04791379250673,483.02292262376716
187000,76.60330013523253,271.45898813398384
188000,61.92975925223436,387.06820387720364
189000,67.15008046172443,337.08689971332495
190000,57.22118340250017,403.7477716749945
191000,52.22340046337695,429.46764810062643
192000,63.192145921131974,347.45781279110855
